,FileName,Positive,Negative,GlobalID,FileType,X,Detection.Date,Notes,Lab.Status,Lab.Comments,Submission.Date,Latitude,Longitude
1,ATT1000_A5A50BAB-A6EF-4576-A1F8-A07862AADE3A.jpg,0.042006581,0.957993419,{E0AE2F2A-38A5-463C-97B5-9F84A477F9AE},image/jpg,NA,18/07/2020,Discovered dogs playing with it in the grass and stepped on it before they could be stung. It looked unlike any other bee or hornet I have ever seen around here.,Negative ID,"It is really hard to tell, but the wings look a lot like a Cicada. It definitely is not the Asian giant hornet.",18/07/2020,45.697513,-122.574534
2,ATT1001_8B9F8599-61EF-4690-B195-888BCD319F32.png,0.042116362,0.957883638,{1CD14B56-4046-44C4-B1B8-8FB07A9071E9},image/png,NA,18/07/2020,I reported this yesterday but here are better pictures,Negative ID,Cicada killer. ,18/07/2020,46.578382,-120.406884
3,ATT1002_7DFE65D0-B77A-4C7F-8849-685CEA02E862.jpg,0.042287151,0.957712849,{0C119F06-3578-4028-AA97-924CD22AAF51},image/jpg,NA,18/07/2020,Sun targets in Moxee,Negative ID,Golden digger wasp. ,18/07/2020,46.501071,-120.21944
4,ATT1003_20200718_151437.jpg,0.042638666,0.957361334,{52700FB3-ADBF-4EDE-BE99-9DF57E40E73F},image/jpg,NA,18/07/2020,Found this guy dead in my grass. And have seen at least one other like it buzzing around today.,Negative ID,Cicada killer. ,18/07/2020,47.709926,-118.92735
5,ATT1004_Killer Hornet 2020-07-18 1.jpg,0.042053146,0.957946854,{1B521236-D295-4CFF-9677-A08EE988CA5D},image/jpg,NA,18/07/2020,"It was laying by back sliding door, right in front of my doggie door. Was laying there, just barely moving. It had not been there in the morning when I watered.",Negative ID,That's a harmless ten lined June bug beetle.,18/07/2020,46.729547,-122.99379
6,ATT1005_Killer Hornet 2020-07-18 2.jpg,0.041867613,0.958132387,{1B521236-D295-4CFF-9677-A08EE988CA5D},image/jpg,NA,18/07/2020,"It was laying by back sliding door, right in front of my doggie door. Was laying there, just barely moving. It had not been there in the morning when I watered.",Negative ID,That's a harmless ten lined June bug beetle.,18/07/2020,46.729547,-122.99379
7,ATT1006_IMG_20200718_164909.jpg,0.041868724,0.958131276,{535876B5-7B29-4B44-899C-B9D743924ED5},image/jpg,NA,18/07/2020,"Flying pool side near condos in Lake Chelan, WA",Negative ID,Cicada killer. ,18/07/2020,47.836535,-120.052964
8,ATT1007_IMG_20200718_164728.jpg,0.04192979,0.95807021,{535876B5-7B29-4B44-899C-B9D743924ED5},image/jpg,NA,18/07/2020,"Flying pool side near condos in Lake Chelan, WA",Negative ID,Cicada killer. ,18/07/2020,47.836535,-120.052964
9,ATT1008_IMG_20200718_164758.jpg,0.041887121,0.958112879,{535876B5-7B29-4B44-899C-B9D743924ED5},image/jpg,NA,18/07/2020,"Flying pool side near condos in Lake Chelan, WA",Negative ID,Cicada killer. ,18/07/2020,47.836535,-120.052964
10,ATT1009_IMG_20200718_164951.jpg,0.042283823,0.957716177,{535876B5-7B29-4B44-899C-B9D743924ED5},image/jpg,NA,18/07/2020,"Flying pool side near condos in Lake Chelan, WA",Negative ID,Cicada killer. ,18/07/2020,47.836535,-120.052964
